위험발생객체,위험발생위치,작업프로세스,인적피해,물적피해,사고원인
흙막이가시설,벽체,굴착,,파괴,파이핑
흙막이가시설,벽체,굴착,,파괴,히빙
흙막이가시설,벽체,매설 및 배관,충돌,전도,지보조치 미흡
흙막이가시설,벽체,매설 및 배관,충돌,전도,흙막이 지보공 미설치
흙막이가시설,벽체,매설 및 배관,충돌,전도,굴착면 기울기
흙막이가시설,벽체,설치,매몰,붕괴,지반조건이 설계조건과 상이
흙막이가시설,벽체,설치,매몰,낙하,상부앵커 강도 미흡
흙막이가시설,벽체,엄지말뚝 인발,매몰,붕괴,해체작업시 적재하중
흙막이가시설,벽체,해체,매몰,붕괴,해체작업 순서 미흡
흙막이가시설,시설물 인접,,,붕괴,설계보다 큰 토압 작용
흙막이가시설,접합부,설계변경,,붕괴,설계 및 시공자료 유실
흙막이가시설,코너 버팀보,굴착,,붕괴,전단철근 보강보의 전단 부족
흙막이가시설,코너 스트러트,,,붕괴,응력집중
흙막이가시설,코너 스트러트,굴착,,붕괴,지하수압 증가
흙막이가시설,코너 스트러트,굴착,,붕괴,지형조건과 설계해석조건 상이
거푸집,,해체,매몰,붕괴,버팀목 미설치
거푸집,,해체,협착,붕괴,해체작업 순서 미흡
거푸집,,해체,매몰,전도,우수유입
거푸집,,해체,충돌,탈락,거푸집 하단 미고정
건물,,보수,매몰,붕괴,작업하중
흙막이가시설,벽체,보수 및 버럭반출,매몰,붕괴,과잉굴착
흙막이가시설,벽체,보수 및 버럭반출,매몰,붕괴,흙막이가시설 설치시기
흙막이가시설,벽체,용접,매몰,붕괴,흙막이 지보공 조립 미흡
